name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,DescribeFields,RecordTypeInfos,searchLayoutable,dataTranslationEnabled
ActionCadenceRule,,1J9,Cadence Rule,Cadence Rules,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCadenceRuleCondition,,0uA,Cadence Rule Condition,Cadence Rule Conditions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCadenceStep,,8C8,Cadence Step,Cadence Steps,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCadenceStepTracker,,8HF,Cadence Step Tracker,Cadence Step Trackers,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCadenceStepVariant,,0mJ,Cadence Step Variant,Cadence Step Variants,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCadenceTracker,,0qB,Cadence Tracker,Cadence Trackers,false,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCadenceTrackerOwnerSharingRule,,,Cadence Tracker Owner Rule,Cadence Tracker Owner Rule,true,true,true,false,OwnerSharingRule,ActionCadenceTracker,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionCdncStpMonthlyMetric,,0gk,Cadence Step Monthly Metric,Cadence Step Monthly Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionLinkGroupTemplate,,07g,Action Link Group Template,Action Link Group Templates,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,false,true,false,,false,,,,
ActionLinkTemplate,,07l,Action Link Template,Action Link Templates,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,,false,,,,
ActionPlan,true,07r,Action Plan,Action Plans,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,true,,,,
ActionPlanItem,,07s,Action Plan Item,Action Plan Items,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,,true,,,,
ActionPlanItemDependency,true,0my,Action Plan Item Dependency,Action Plan Item Dependencies,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,false,true,true,,,,
ActionPlanOwnerSharingRule,,,Action Plan Owner Rule,Action Plan Owner Rule,true,true,true,false,OwnerSharingRule,ActionPlan,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActionPlanTemplate,,0PR,Action Plan Template,Action Plan Templates,true,true,true,false,,,true,false,false,true,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,,true,,,true,
ActionPlanTemplateAssignment,true,0w5,Action Plan Template Assignment,Action Plan Template Assignments,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,true,,,true,
ActionPlanTemplateItem,,0PJ,Action Plan Template Item,Action Plan Template Items,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,,true,,,true,
ActionPlanTemplateItemValue,,0PN,Action Plan Template Item Value,Action Plan Template Item Values,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,,true,,,true,
